id,lat,lon,z
0,38.320504,15.566667,74.03070831298828
1,38.308333,15.582796,94.3252182006836
2,38.293459,15.6,65.0328140258789
3,38.283333,15.61817,38.262718200683594
4,38.275,15.644323,26.623319625854492
5,38.258333,15.629293,24.16152000427246
6,38.244453,15.6,60.739715576171875
7,38.23509,15.583333,84.09941101074219
8,38.186584,15.566667,54.21370315551758
9,38.169535,15.55,-8.099961280822754
10,38.15,15.537541,-7.044516086578369
11,38.131372,15.525,46.8267936706543
12,38.1,15.509226,-4.192915916442871
13,38.066667,15.492709,11.173778533935547
14,38.05,15.475725,34.06957244873047
15,38.035015,15.458333,104.97286987304688
16,38.016676,15.441667,76.2192611694336
17,38.002212,15.425,69.63256072998047
18,37.98444,15.408333,98.0987548828125
19,37.941667,15.373526,71.3408432006836
20,37.925,15.355588,29.50333595275879
21,37.883551,15.316667,11.389328002929688
22,37.858333,15.304611,223.4108123779297
23,37.841717,15.291667,-12.367478370666504
24,37.818359,15.275,-0.9144559502601624
25,37.805916,15.258333,86.39060974121094
26,37.786675,15.241667,83.95301055908203
27,37.766667,15.226115,25.35379981994629
28,37.741667,15.215347,108.95379638671875
29,37.725,15.222515,32.353694915771484
30,37.7,15.219184,9.365484237670898
31,37.633333,15.184814,68.33808898925781
32,37.566667,15.175655,79.21138000488281
33,37.55,15.151915,30.456266403198242
34,37.536769,15.133333,18.711462020874023
35,37.508333,15.122241,59.71495819091797
36,37.475,15.127388,52.99675369262695
37,37.441667,15.140044,46.878753662109375
38,37.41116,15.15,46.91875457763672
39,37.383333,15.151196,38.856754302978516
40,37.355221,15.158333,37.59375
41,37.33636,15.175,40.11175537109375
42,37.323566,15.191667,44.66275405883789
43,37.301229,15.208333,40.85005569458008
44,37.291667,15.231647,66.64156341552734
45,37.269843,15.25,58.682762145996094
46,37.251029,15.266667,46.53956604003906
47,37.225,15.268459,50.01456069946289
48,37.208333,15.247033,55.261356353759766
49,37.175,15.247732,64.93505096435547
50,37.156297,15.258333,50.077049255371094
51,37.125071,15.266667,43.00545120239258
52,37.116667,15.298054,89.395751953125
53,37.091667,15.313853,68.81005096435547
54,37.058333,15.313733,58.801753997802734
55,37.037843,15.325,64.01405334472656
56,36.991667,15.325555,63.58634567260742
57,36.98638,15.291667,60.37253952026367
58,36.966667,15.276111,51.25063705444336
59,36.953651,15.258333,60.9935302734375
60,36.94429,15.225,44.337623596191406
61,36.933333,15.208763,67.12601470947266
62,36.916667,15.193523,43.2905158996582
63,36.9,15.178305,57.45310974121094
64,36.866667,15.173711,42.09590530395508
65,36.836056,15.166667,45.08270263671875
66,36.808333,15.162238,49.517799377441406
67,36.775,15.170229,48.889095306396484
68,36.741667,15.171587,47.98289108276367
69,36.716667,15.180197,50.24858856201172
70,36.683333,15.181992,51.2161865234375
71,36.663813,15.2,48.01078796386719
72,36.636744,15.2,47.99678039550781
73,36.634479,15.166667,53.00547409057617
74,36.616671,15.15,51.466670989990234
75,36.608333,15.131602,48.96106719970703
76,36.608333,15.106298,43.74195861816406
77,36.583333,15.118387,53.11545944213867
78,36.576822,15.091667,51.38115310668945
79,36.575,15.073132,51.08955001831055
80,36.575242,15.041667,52.3758430480957
81,36.559987,15.025,54.693538665771484
82,36.591109,15.008333,49.635440826416016
83,36.618557,15.241667,51.74919128417969
84,36.618332,15.291667,48.536197662353516
85,36.608333,15.314999,49.73530197143555
86,36.6,15.292865,58.38239669799805
